bbawamarna:Abaci//Titulaturen	66FT2O2Q5VAWNC4YVHOHOEL2R4
bbawamarna:Alabasterschale mit Inschrift Amenophis III.//〈Alabasterschale mit Inschrift Amenophis III.〉	BFX5RXO6BNH7VLSDCZVWF6QCZY
bbawamarna:Amarnabrief EA 29//hieroglyphische Briefaufschrift	DCCNU7PH5NDCLMTEPXEPX7V4IA
bbawamarna:Block Kairo 11/1/25/12//Fragment eines Gebets an Aton	4BOBDJWUC5D6HPAHN7EZP42UTI
bbawamarna:Block Kairo 11/1/25/12//Fragment eines Gebets für Re-Harachte	POVRKXA6RJAHLN3VCAG4J4VBM4
bbawamarna:Block Kairo 3/7/24/12//Opfertischszene	S5PBDQJ6IBDEJFGHDN3A5FGVWI
bbawamarna:Block Kairo 3/7/24/12//Szenenbeischrift / linkes Ehepaar	USJ3LN3Y4ZD6BC4TJYSW3QNCE4
bbawamarna:Block Kairo 3/7/24/12//Szenenbeischrift / rechtes Ehepaar	ICJEOIGMQNFMBBCHAJRDYHHU4Q
bbawamarna:Block Kairo 8/11/26/6//Gebet an Aton / Atum	VEAFHY2MQRFCNGN4Q5SXIXFIZE
bbawamarna:Block Kairo 8/11/26/6//Szenenbeischrift: Linke Gruppe	74OGBFJTBZGNBP3225E2JEC7AI
bbawamarna:Block Kairo 8/11/26/6//Szenenbeischrift: Rechte Gruppe	W6JTEI2PFVDKNHRX4574EXB6M4
bbawamarna:Block aus Grab des Meryt-Neith//Mundöffnungsritual (Szenen 36 + 39)	A3YGVWFAAZEZHPIXRZLCMPSLRU
bbawamarna:Block aus Grab des Meryt-Neith//[Linke Inschrift]	ILX27C3DONA3NA6BQ4TB56EWC4
bbawamarna:Block aus Grab des Meryt-Neith//[Rechte Inschrift]	GZQS7NJU7RHZ3L56XAFQLKGCUQ
bbawamarna:Block//Opferszene vor Osiris	KDQ3XPE2VBBI5ERFUZSIPCUV2U
bbawamarna:Block//[linke Szene]	7TAGNLXXXRH5LFEBRCBEKPXU4E
bbawamarna:Block//[mittlere Kolumne]	VF2AZDMPKBCSJGUR7SV3Q3HSJI
bbawamarna:Block//[rechte Szene]	TC7OUXTCQZACPIWJMJ477XFNJA
bbawamarna:Block//[untere Zeile]	DVF35LTPWZGAVP7577HZXCY22I
bbawamarna:Block: CL (aus Luxor)//Fragment	3GMN5AJKJJDDDPJV5FUPDLE46I
bbawamarna:Block: CLV (aus Luxor)//fragmentarische Widmungsinschrift	GFFPXPM5NZFXBJ2MLX642I7ZD4
bbawamarna:Block: CXLVI//Fragment mit Königsnamen	LVQBOGAPXBG23G2BOA2O62GB5U
bbawamarna:Block: KHES 180//Fragment	L3UPKYWSOFHC5DAAAE2OZGQWYE
bbawamarna:Block: NR C//Fragment	W5ABIVOZ3BGPJIQRUYN5EYDDDA
bbawamarna:Block: TS 5410//Rede der Opferträger	XV6XC6HZHRCWTPEMBQ63NSHEL4
bbawamarna:Block: TS 8793//Opferinschrift	DXHJ6CIQJJEUHMNWNURFBPGFEE
bbawamarna:Block: TS 8793//Szenenbeischrift	LG6IAWKBEVDO5IQAE2IY2WLPUA
bbawamarna:Block: XE 3//Fragment	FMPINDHVRVAGJC6TPGMWXYRFAA
bbawamarna:Block: XE 30//Fragment	PZSZZ6VLTJE7NOLQ25FR5W2NEY
bbawamarna:Block: XE 34//Fragment	6QOBSHDYDVHFNEZJPNYY4DTNBU
bbawamarna:Block: XE 80//Fragment	LMDCI57K55DNZCB75YIRUXDJVA
bbawamarna:Block: ohne Nr.//Fragment einer Opferliste	V2DNH4QODFDC5CSXDWAZU2QAHQ
bbawamarna:Block: ohne Nr.//[Opferliste:1-11]	CVAYHTKDKJEDXJZEUIZTZAGELU
